file,cortar_extremidades,pre_processamento,contaminacao,best_n_components,rmse_cal,rmsecv,rmse_test,RPD,RER,r2_cal,r2_cv,r2_test,start_index,end_index
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.04,10,7.34,9.57,11.04,3.07,9.06,0.95,0.9,0.91,10,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.2,9,6.94,7.55,10.06,3.29,9.94,0.96,0.94,0.91,0,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.11,2,30.96,31.42,30.81,1.11,3.25,0.17,0.12,0.24,30,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.19,10,6.31,6.71,9.01,3.7,11.1,0.96,0.95,0.93,10,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.03,10,9.21,10.25,10.51,3.23,9.51,0.92,0.9,0.91,0,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.07,10,8.08,8.73,9.41,3.6,10.62,0.94,0.93,0.93,50,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,4,29.35,30.53,31.45,1.09,3.18,0.24,0.17,0.2,50,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.06,10,8.24,8.84,11.38,2.99,8.79,0.94,0.92,0.9,90,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.08,9,11.79,14.98,14.33,2.36,6.98,0.88,0.8,0.82,0,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.19,10,6.71,7.57,11.34,2.93,8.82,0.96,0.94,0.89,20,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.15,10,6.85,8.13,10.74,3.09,9.31,0.96,0.93,0.9,60,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.04,8,15.56,17.03,18.68,1.82,5.35,0.78,0.73,0.73,30,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.07,10,7.58,8.11,9.64,3.52,10.37,0.95,0.94,0.92,10,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.19,8,6.78,6.88,10.61,3.15,9.42,0.96,0.95,0.9,50,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.04,10,8.8,9.83,9.86,3.44,10.14,0.93,0.9,0.93,10,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.2,6,8.88,9.94,7.99,4.06,12.52,0.92,0.89,0.94,0,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.06,10,8.13,8.86,11.03,3.09,9.07,0.94,0.92,0.9,0,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.08,6,12.75,13.31,13.85,2.45,7.22,0.86,0.84,0.82,60,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.15,10,7.25,7.8,10.37,3.25,9.65,0.95,0.94,0.91,20,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.14,6,6.93,6.9,9.66,3.35,10.36,0.95,0.95,0.91,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.11,2,30.96,31.42,30.81,1.11,3.25,0.17,0.12,0.24,30,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,4,29.35,30.53,31.45,1.09,3.18,0.24,0.17,0.2,50,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.08,4,30.79,32.76,33.39,1.04,3.0,0.21,0.07,0.06,30,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.19,10,6.31,6.92,11.49,2.88,8.7,0.96,0.95,0.89,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.07,10,7.88,9.61,10.12,3.28,9.88,0.94,0.91,0.91,30,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.2,5,8.53,9.35,9.73,3.31,10.28,0.93,0.91,0.91,10,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.15,10,7.25,7.8,10.37,3.25,9.65,0.95,0.94,0.91,20,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.14,9,5.93,7.62,9.29,3.58,10.76,0.97,0.94,0.92,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.07,9,8.31,9.18,9.99,3.36,10.01,0.94,0.92,0.91,30,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.06,9,6.92,7.5,10.84,3.14,9.22,0.96,0.94,0.91,0,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.08,8,13.83,14.84,15.3,2.22,6.54,0.84,0.81,0.79,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.19,9,6.12,6.39,10.37,3.2,9.64,0.96,0.96,0.91,60,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,3,29.97,30.28,33.95,1.01,2.95,0.19,0.16,0.1,30,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.13,10,10.66,12.16,15.65,2.14,6.39,0.9,0.86,0.79,0,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.19,10,7.82,9.0,9.01,3.71,11.1,0.94,0.92,0.93,0,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.07,5,28.12,29.06,30.28,1.12,3.3,0.31,0.25,0.21,90,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.19,10,7.82,9.0,9.01,3.71,11.1,0.94,0.92,0.93,0,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.14,9,5.93,7.62,9.29,3.58,10.76,0.97,0.94,0.92,100,230
