file,cortar_extremidades,pre_processamento,contaminacao,best_n_components,rmse_cal,rmsecv,rmse_test,RPD,RER,r2_cal,r2_cv,r2_test,start_index,end_index
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo + d2,0.2,6,8.63,9.72,9.36,3.44,10.68,0.93,0.9,0.92,20,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,d2 + msc,0.09,6,8.79,9.92,9.06,3.7,11.03,0.93,0.9,0.93,0,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,scal + smo,0.16,8,8.33,8.64,7.66,4.37,13.05,0.94,0.92,0.95,50,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo + msc,0.0,1,33.1,36.01,34.85,0.97,2.87,0.02,-0.22,0.02,60,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,3,31.02,31.43,35.49,0.96,2.82,0.13,0.1,0.02,30,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal + msc,0.19,5,28.68,30.17,33.45,1.03,2.99,0.26,0.17,0.14,90,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,smo,0.14,9,7.77,8.46,10.13,3.33,9.87,0.95,0.93,0.91,60,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal + smo,0.02,10,8.75,9.24,10.05,3.38,9.95,0.93,0.92,0.92,70,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,scal,0.2,9,6.67,7.54,9.54,3.52,10.48,0.96,0.94,0.92,100,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal + d1,0.07,9,9.41,10.29,7.43,4.5,13.45,0.92,0.89,0.95,30,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo + d2 + msc,0.17,1,33.14,33.57,32.61,1.06,3.07,0.1,0.06,0.08,30,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo + d2,0.07,8,7.84,9.94,10.48,3.21,9.54,0.94,0.91,0.91,0,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal,0.05,10,9.05,10.03,9.53,3.57,10.49,0.93,0.91,0.93,30,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,d1 + msc,0.01,9,8.42,9.55,8.6,3.93,11.63,0.94,0.92,0.94,0,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal + d1,0.07,6,8.43,8.59,6.84,4.89,14.63,0.94,0.92,0.96,50,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,scal + smo,0.16,10,8.36,9.71,8.89,3.78,11.25,0.94,0.91,0.93,30,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal + d2,0.02,7,7.72,9.18,9.21,3.67,10.85,0.95,0.92,0.93,0,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2 + snv,0.06,8,11.94,13.34,15.37,2.23,6.51,0.87,0.83,0.81,70,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal,0.15,10,7.74,8.18,10.11,3.31,9.89,0.94,0.93,0.92,50,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal,0.05,10,9.34,10.54,9.22,3.68,10.85,0.92,0.9,0.93,20,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + scal + smo,0.02,10,7.48,8.0,8.93,3.8,11.2,0.95,0.94,0.93,70,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,smo,0.14,9,7.77,8.46,10.13,3.33,9.87,0.95,0.93,0.91,60,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo + d2,0.07,8,7.84,9.94,10.48,3.21,9.54,0.94,0.91,0.91,0,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo + d2 + msc,0.17,1,33.14,33.57,32.61,1.06,3.07,0.1,0.06,0.08,30,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo + msc,0.0,1,33.1,36.01,34.85,0.97,2.87,0.02,-0.22,0.02,60,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,3,31.02,31.43,35.49,0.96,2.82,0.13,0.1,0.02,30,140
