file,cortar_extremidades,pre_processamento,contaminacao,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,seed_accuracy_max,sensibility_mean,sensibility_std,sensibility_min,sensibility_max,specificity_mean,specificity_std,specificity_min,specificity_max,start_index,end_index
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,0.97,0.01,0.94,0.98,5,0.53,0.06,0.49,0.66,0.53,0.06,0.49,0.66,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.08,0.96,0.01,0.95,0.98,5,0.58,0.07,0.49,0.74,0.58,0.07,0.49,0.74,40,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,0.96,0.01,0.95,0.98,7,0.55,0.04,0.5,0.62,0.55,0.04,0.5,0.62,10,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.09,0.96,0.01,0.94,0.98,5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.18,0.96,0.01,0.93,0.98,5,0.54,0.05,0.5,0.62,0.54,0.05,0.5,0.62,40,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.05,0.96,0.01,0.95,0.98,3,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0,120
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.2,0.96,0.01,0.93,0.97,5,0.53,0.04,0.5,0.6,0.53,0.04,0.5,0.6,20,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.17,0.95,0.01,0.93,0.97,7,0.5,0.0,0.49,0.5,0.5,0.0,0.49,0.5,40,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.2,0.97,0.01,0.95,0.99,3,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.08,0.96,0.01,0.94,0.98,5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,20,150
